what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564400906364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564400906644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564400908273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564400911532
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564400929938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564400931540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564400944563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401126973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401136585
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1564401136669
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401143900
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401143923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401144465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1564401144476
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401149027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401301880
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1564401301900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401349218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401413668
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401414740
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401423664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401427102
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401429390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564401442909
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564401443243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401443527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401445156
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401450385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564401467228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564401467399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564401468529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401473670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401480808
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401485118
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401487069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401495881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401496626
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401496981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401529233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401571100
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401572371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401574760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401577378
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401581985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564401595819
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564401596575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401596858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401598549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564401610429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564401617699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564401626320
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401626930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401638708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401651587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401652323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401652659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401658920
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401664451
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401665484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401669441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564401677664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401685036
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401686931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401700844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401702181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401708783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401711402
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401716224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401717450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564401720178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401720671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401723103
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401728596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401731639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401736464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401739642
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401740482
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401742004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401744604
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401746599
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401748733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401756243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401758033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401787157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401787324
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401787998
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564401804430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401805155
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564401805418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401810890
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401817039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401817978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401820105
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401821426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401822177
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401823163
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564401824112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401832554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401835441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401847882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564401853607
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564401857934
